Date,Amount
2016/1/18,19
2016/1/17,19
2016/1/16,35
2016/1/15,40
2016/1/14,19
2016/1/13,
2016/1/12,21
2016/1/11,37
2016/1/10,44
2016/1/9,39
2016/1/8,30
2016/1/7,
2016/1/6,21
2016/1/5,
2016/1/4,
2016/1/3,
2016/1/2,16
2016/1/1,36
2015/12/31,
2015/12/30,36
2015/12/29,
2015/12/28,
2015/12/27,
2015/12/26,
2015/12/25,
2015/12/24,
2015/12/23,
2015/12/22,
2015/12/21,
2015/12/20,
2015/12/19,41
2015/12/18,
2015/12/17,26
2015/12/16,44
2015/12/15,
2015/12/14,
2015/12/13,
2015/12/12,
2015/12/11,41
2015/12/10,32
2015/12/9,23
2015/12/8,
2015/12/7,32
2015/12/6,31
2015/12/5,
2015/12/4,
2015/12/3,23
2015/12/2,26
2015/12/1,
2015/11/30,
2015/11/29,30
2015/11/28,
2015/11/27,
2015/11/26,25
2015/11/25,36
2015/11/24,
2015/11/23,
2015/11/22,
2015/11/21,52
2015/11/20,
2015/11/19,
2015/11/18,
2015/11/17,
2015/11/16,50
2015/11/15,60
2015/11/14,60
2015/11/13,58
2015/11/12,37
2015/11/11,
2015/11/10,
2015/11/9,
2015/11/8,60
2015/11/7,40
2015/11/6,51
2015/11/5,33
2015/11/4,35
2015/11/3,
2015/11/2,
2015/11/1,44
2015/10/31,33
2015/10/30,41
2015/10/29,51
2015/10/28,63
2015/10/27,55
2015/10/26,31
2015/10/25,60
2015/10/24,
2015/10/23,
2015/10/22,54
2015/10/21,46
2015/10/20,60
2015/10/19,56
2015/10/18,
2015/10/17,53
2015/10/16,64
2015/10/15,
2015/10/14,21
2015/10/13,
2015/10/12,
2015/10/11,30
2015/10/10,67
2015/10/9,
2015/10/8,
2015/10/7,25
2015/10/6,0
2015/10/5,32
2015/10/4,45
2015/10/3,50
2015/10/2,22
2015/10/1,70
2015/9/30,18
2015/9/29,0
2015/9/28,60
2015/9/27,0
2015/9/26,0
2015/9/25,38
2015/9/24,15
2015/9/23,22
2015/9/22,28
2015/9/21,19
2015/9/20,60
2015/9/19,43
2015/9/18,26
2015/9/17,85
2015/9/16,29
2015/9/15,53
2015/9/14,
2015/9/13,60
